"","dow","temp","BAR_OR_TAVERN"
"1054","Friday",52.9,0.181818181818182
"1055","Saturday",43.5,0.5
"1056","Sunday",52.3,0.454545454545455
"1057","Monday",55.9,0.136363636363636
"1058","Tuesday",43.1,0.136363636363636
"1059","Wednesday",37.1,0.181818181818182
"1060","Thursday",46.5,0.181818181818182
"1061","Friday",50.3,0.0909090909090909
"1062","Saturday",40.7,0.318181818181818
"1063","Sunday",37.8,0.454545454545455
"1064","Monday",42.5,0.181818181818182
"1065","Tuesday",37.1,0.0454545454545455
"1066","Wednesday",43.6,0.181818181818182
"1067","Thursday",50.7,0.227272727272727
"1068","Friday",47.7,0.136363636363636
"1069","Saturday",38.8,0.318181818181818
"1070","Sunday",44.1,0.272727272727273
"1071","Monday",52.6,0.0454545454545455
"1072","Tuesday",46.8,0.227272727272727
"1073","Wednesday",39.9,0.0909090909090909
"1074","Thursday",39.3,0.0909090909090909
"1075","Friday",41.5,0.136363636363636
"1076","Saturday",53.4,0.363636363636364
"1077","Sunday",50.9,0.363636363636364
"1078","Monday",47.9,0.0454545454545455
"1079","Tuesday",48.9,0.0454545454545455
"1080","Wednesday",42.2,0.0454545454545455
"1081","Thursday",52.9,0.136363636363636
"1082","Friday",55.3,0.181818181818182
"1083","Saturday",46.5,0.363636363636364
"1084","Sunday",45.6,0.136363636363636
"1085","Monday",35.8,0.136363636363636
"1086","Tuesday",43.5,0.0454545454545455
"1087","Wednesday",50,0
"1088","Thursday",35,0.136363636363636
"1089","Friday",31.5,0.136363636363636
"1090","Saturday",42.7,0.136363636363636
"1091","Sunday",42.8,0.0454545454545455
"1092","Monday",38,0.0454545454545455
"1093","Tuesday",43.1,0
"1094","Wednesday",43.9,0
"1095","Thursday",47.4,0.136363636363636
"1096","Friday",48.3,0.181818181818182
