"","dow","temp","TOTAL_CRIMES"
"1045","Wednesday",56.5,0.621505376344086
"1046","Thursday",49.9,0.494623655913978
"1047","Friday",58.3,0.449462365591398
"1048","Saturday",56.4,0.541935483870968
"1049","Sunday",49.4,0.483870967741935
"1050","Monday",51.4,0.552688172043011
"1051","Tuesday",45.9,0.552688172043011
"1052","Wednesday",46.5,0.421505376344086
"1053","Thursday",58.7,0.513978494623656
"1054","Friday",52.9,0.50752688172043
"1055","Saturday",43.5,0.576344086021505
"1056","Sunday",52.3,0.526881720430108
"1057","Monday",55.9,0.419354838709677
"1058","Tuesday",43.1,0.352688172043011
"1059","Wednesday",37.1,0.548387096774194
"1060","Thursday",46.5,0.161290322580645
"1061","Friday",50.3,0.440860215053763
"1062","Saturday",40.7,0.453763440860215
"1063","Sunday",37.8,0.496774193548387
"1064","Monday",42.5,0.561290322580645
"1065","Tuesday",37.1,0.49247311827957
"1066","Wednesday",43.6,0.726881720430108
"1067","Thursday",50.7,0.625806451612903
"1068","Friday",47.7,0.724731182795699
"1069","Saturday",38.8,0.561290322580645
"1070","Sunday",44.1,0.466666666666667
"1071","Monday",52.6,0.470967741935484
"1072","Tuesday",46.8,0.397849462365591
"1073","Wednesday",39.9,0.574193548387097
"1074","Thursday",39.3,0.529032258064516
"1075","Friday",41.5,0.548387096774194
"1076","Saturday",53.4,0.451612903225806
"1077","Sunday",50.9,0.548387096774194
